Incident_ID,Summary,ContactType,label,label_num
INC4090348,cda launcher ,Phone,Healthcare Application Issues,0
INC5958036,"afl/kphc: please change user (nakamura, lanelle v. k660757 to clinical access.",Email,Healthcare Application Issues,0
INC2958384,(spw 02/01 #outpatient) bp needing assitance with new hire smartphrases,Phone,Healthcare Application Issues,0
INC0473785,issue: epicremote - unable to remove or delete the start of care oasis,Phone,Healthcare Application Issues,0
INC4258306,kphc psup gives connection when launching psupnwm hyperspace fma,Phone,Healthcare Application Issues,0
INC6217911,cda launcher,Self-service,Healthcare Application Issues,0
INC5830430,sbp pallative care #haiku  unable to connect to server using haiku -- powered off/on -- 415 902-3196,Phone,Healthcare Application Issues,0
INC4509043,ss - haiku - ggm (mmn/bcw),Phone,Healthcare Application Issues,0
INC1890032,ss - imm - nbm (dc/gmm),Phone,Healthcare Application Issues,0
INC5463439,(sln sur #outpatient) is there a work around for sharing or grabbing smartphrases during this week of pre-update?,Phone,Healthcare Application Issues,0
INC1417450,"afl/kphc: please provision user (carrillo, rosa x694052) per attached toolkit.",Email,Healthcare Application Issues,0
INC5622820,"afl/scal: please add tin 832998221  to user dave, marion a [x055070] in kphc - thank you!",Email,Healthcare Application Issues,0
INC3273965,(ros inf 3/1/19 #smartphrase) bp needs smartphrases formatted properly for los and coding.,Phone,Healthcare Application Issues,0
INC2651105,(aub pls 01/15 #haiku) haiku apps not uploading pictures on ipod in the app,Phone,Healthcare Application Issues,0
INC6003928,dau # 22439 - dau case,Phone,Healthcare Application Issues,0
INC3746272,please provision rmwstam5291719 for imprivata,Direct Input,Healthcare Application Issues,0
INC3301201,#408-769-0319 -haiku has id/password greyed out. gets no environments configured. ,Phone,Healthcare Application Issues,0
INC3842289,helpdesk issue entire department got booted out of epic,Phone,Healthcare Application Issues,0
INC6126259,hl7 image notification messages not filing in epic.,Direct Input,Healthcare Application Issues,0
INC5725015,bp is using cda launcher  which is telling her she is locked out,Phone,Healthcare Application Issues,0
INC6148113,epic- needs to have econsult removed from neurology in epic at fed,Phone,Healthcare Application Issues,0
INC3608775,cda launcher,Phone,Healthcare Application Issues,0
INC4363514,kphc home health crashes when trying to view in-basket.,Phone,Healthcare Application Issues,0
INC3802311,smartphrase question,Phone,Healthcare Application Issues,0
INC3489310,dau#20631.  bp is unable to cancel admission check-in in error,Phone,Healthcare Application Issues,0
INC3202470,kphc co - we are seeing failures for kphc co for step3: hyperspace login,Direct Input,Healthcare Application Issues,0
INC3705253,bp is reporting that epic server dmdlnwv is down ,Phone,Healthcare Application Issues,0
INC4431006,cda launcher closing,Self-service,Healthcare Application Issues,0
INC5678561,(pls gyn #outpatient) bp is trying to personalize her schedule on epic,Phone,Healthcare Application Issues,0
INC3022183,set dea epcs to grant,Direct Input,Healthcare Application Issues,0
INC5575525,pcp request sbm (jdb) ccw 322315 ,Phone,Healthcare Application Issues,0
INC4008687,"afl/kphc: please change user (hernandez, lidieth  l427147) to clinical access.",Email,Healthcare Application Issues,0
INC3902191,afl/kphc: please create the following pgp per attached spreadsheet.  instance: ie,Email,Healthcare Application Issues,0
INC6350970,epic freezing,Phone,Healthcare Application Issues,0
INC5958819,dau # 22395-patient says that her medical history is wrong wants to change it. ,Phone,Healthcare Application Issues,0
INC5238590,(oak pmeb#ib) inbasket maintenance. bp needed help clearing folders in ib,Phone,Healthcare Application Issues,0
INC3717552,kp health connect issue - unable to edit/create smart phrases,Phone,Healthcare Application Issues,0
INC1850299,incident - bp is reporting that the she getting  kicked out of epic on multiple pc at different locations.  she loses her all work when it happens.,Phone,Healthcare Application Issues,0
INC6200459,(svm afm #outpatient)-  stuck aacc and incomplete variable messages in inbasket.,Direct Input,Healthcare Application Issues,0
INC3024642,bp reportingsmartphrase for weights not working,Direct Input,Healthcare Application Issues,0
INC4168273,kphc- home health- bp missing interventions in care plan,Phone,Healthcare Application Issues,0
INC1027129,cortext continues to give login error,Phone,Healthcare Application Issues,0
INC4863574,pcp request - sbm (goc),Phone,Healthcare Application Issues,0
INC1125972,08/29 (rd) kphc - cda remote launcher - unable to any scal environments - csparam3978016,Phone,Healthcare Application Issues,0
INC4365472,dau#21282 - unmerge - twins  - deployment  oc,Direct Input,Healthcare Application Issues,0
INC5529191,smart phrase not working ,Direct Input,Healthcare Application Issues,0
INC0716639,cadence,Phone,Healthcare Application Issues,0
INC6050781,client is having issues closing a chat on epic ,Phone,Healthcare Application Issues,0
INC5475487,(str-pom #outpatient) x606867 - bp is missing completed work in attached in-basket in kphc. ,Phone,Healthcare Application Issues,0
INC1296699,ss facility share - ggm - haiku (aeb/alr),Phone,Healthcare Application Issues,0
INC4772559,(sac chem dep 07/17-voicemail #inbasket) bp has about 15  open encounters that he needs help closing  916-979-4172,Phone,Healthcare Application Issues,0
INC3347344,par-4 pe cda launcher on her desktop is showing blocked when launching ,Phone,Healthcare Application Issues,0
INC6417109,the client cannot remove patients in her in basket.,Phone,Healthcare Application Issues,0
INC4435121,bp is reporting that the epic was slow ,Phone,Healthcare Application Issues,0
INC2332595,kphc inbasket issue,Phone,Healthcare Application Issues,0
INC2962420,bp requesting to have images removed in epic.  see conf tab.  contact 415-482-6885,Phone,Healthcare Application Issues,0
INC4467292,dr. james a. min - f566419 missing (hyperspace scal - va w/ toolbar) icon,Phone,Healthcare Application Issues,0
INC4325525,"(rpw6/4#out patient) inbasket stuck open vasf, ",Phone,Healthcare Application Issues,0
INC3534949,cda remote launcher,Self-service,Healthcare Application Issues,0
INC5249858,(frs hns #other) resolved/complete: smartphrase/smartlist modifications,Phone,Healthcare Application Issues,0
INC2563090,"kphc inbasket for user duzon, evelyn (rn) retired ib messages are being sent ",Phone,Healthcare Application Issues,0
INC3499715,unable to update haiku,Chat,Healthcare Application Issues,0
INC3980614,kphc co - trngcob/trngcom/prctcom (szardb9) central authentication fails for admintext access,Direct Input,Healthcare Application Issues,0
INC5724138,old messages in inbasket and dashboard display issues,Chat,Healthcare Application Issues,0
INC3595785,cda launcher,Phone,Healthcare Application Issues,0
INC3023621,request to add workstations to lws table,Direct Input,Healthcare Application Issues,0
INC3658542,*urgent affecting workflow nn/remote urgent care - personal laptop. citrix error message; application cannot connect to server. contact=424-703-9745.,Phone,Healthcare Application Issues,0
INC4941587,cda launcher closing,Self-service,Healthcare Application Issues,0
INC1536474,in-basket issue,Phone,Healthcare Application Issues,0
INC1214436,bp is unable to clear overude results in the in-basket.  see screenshot,Phone,Healthcare Application Issues,0
INC3974170,ss-facility share - dup. accession - nbm (dmj),Direct Input,Healthcare Application Issues,0
INC0736929,ss facility share - cam - haiku (ta/bmn),Phone,Healthcare Application Issues,0
INC0238523,ss-facility share - ggm telederm photos 1 of 8,Phone,Healthcare Application Issues,0
INC4482338,resolved: closing an inbasket item,Phone,Healthcare Application Issues,0
INC4447565,kphc home health clinical op - encounter issue,Phone,Healthcare Application Issues,0
INC3534534,cda launcher,Phone,Healthcare Application Issues,0
INC4482439,cda launcher closing,Self-service,Healthcare Application Issues,0
INC3520613,cda launcher fma,Self-service,Healthcare Application Issues,0
INC1896592,bp: lws maping for 2 pc -see attachment ,Phone,Healthcare Application Issues,0
INC3381716,fac share - merge request - ebm (ms/lrs),Phone,Healthcare Application Issues,0
INC6447273,(1st ped #access) resolved: add 5 employees to pediatric inbasket pools,Phone,Healthcare Application Issues,0
INC3825830,kphc home health clinical issue,Phone,Healthcare Application Issues,0
INC5555008,pcp request ebm (as) ccw 318387,Phone,Healthcare Application Issues,0
INC2826808,ss-facility share - real patient with erroneous encounters (kmt) 6 of 6,Self-service,Healthcare Application Issues,0
INC5841380,smarthphrase issue,Phone,Healthcare Application Issues,0
INC2256107,cortext 1 | christopher wu ,Direct Input,Healthcare Application Issues,0
INC6398895,homehealth - please error out encounter shown in screen shot,Phone,Healthcare Application Issues,0
INC1789914,urgent - unable to access cda launcher,Phone,Healthcare Application Issues,0
INC1973416,"kphc home health: bp removes deceased patients from list, they reappear sync",Phone,Healthcare Application Issues,0
INC1745515, question regarding inbasket pools,Phone,Healthcare Application Issues,0
INC4431054,sbm please remove pcp's from patients health connect.,Phone,Healthcare Application Issues,0
INC6334727,(mscc) i'm having a cda launcher issue,Self-service,Healthcare Application Issues,0
INC6322855,"afl/kphc: please add tin & pgp's as indicated below to user (jones, jessica b, h403421)",Email,Healthcare Application Issues,0
INC6209696,urgent  customer is reporting  that can't see electronic visits in inbasket,Phone,Healthcare Application Issues,0
INC3333111,har-kphc issue renal registry/smartform designer form renal registry will not open in prd epic slg 4311927,Phone,Healthcare Application Issues,0
INC1184203,afl/kphc: please create the following pgp per attached spreadsheet.,Email,Healthcare Application Issues,0
INC1430720,rwc prelude - membership active in foundations but missing in epic - phi under documents section,Email,Healthcare Application Issues,0
INC3503644,#nextday epic haiku is not working on the clients phone,Phone,Healthcare Application Issues,0
INC3587641,getting high alert each time she opens her inbasket - would like this turned off,Phone,Healthcare Application Issues,0
INC4496611,(urgent)user authentication is blocked for this account for cda launcher scal,Phone,Healthcare Application Issues,0
INC3990588,afl/kphc: please create the following pgp per attached spreadsheet.  instance:  tc,Email,Healthcare Application Issues,0
INC4430369,dsa kphc: bp unable to share smartphrase,Phone,Healthcare Application Issues,0
INC3789137,cannot add smartphrase - unable to create a smartphrase record ,Phone,Healthcare Application Issues,0
INC3927853,"b | contingent worker unable to assign herself to care team pacu and pre-op, appears in handoff",Phone,Healthcare Application Issues,0
INC5129346,client is locked out of cda launcher ncal,Phone,Healthcare Application Issues,0
INC3198900,messages sent from inbasket show that responses will go to jason spereberg.,Phone,Healthcare Application Issues,0
INC6250598,cda launcher,Phone,Healthcare Application Issues,0
INC5321800,afl/kphc: please create the following pgp per attached spreadsheet.  instance:  ml,Email,Healthcare Application Issues,0
INC2051663,software issue: other problem ( cda remote launcher 2012iirev1 ) ,Self-service,Healthcare Application Issues,0
INC2514928,rwc- question on inbasket - rwc med oppc management ,Email,Healthcare Application Issues,0
INC5820573,(eur 10/23#outpatient) having issues whar charting in patient cc enc in inbasket.,Phone,Healthcare Application Issues,0
INC2720490,bp is locked out of kphc stgn hyperspace epic 2017 environment,Phone,Healthcare Application Issues,0
INC3492937,ss - haiku relabel - ggm (ag),Phone,Healthcare Application Issues,0
INC3790377,kp healthconnect -unable to copy smart-phrase ,Phone,Healthcare Application Issues,0
INC3071147,dsa kphc: user needed help trying to locate episodes of care and smart forms on widescreen,Phone,Healthcare Application Issues,0
INC2112108,(rsg ped 11/26 #outpatient-skyped awaiting reply) bp having issues when covering his colleagues inbaskets.  please assist.,Email,Healthcare Application Issues,0
INC2986062,cortext 1 | beverly pfister ,Direct Input,Healthcare Application Issues,0
INC5645567,haiku ebm (rj) ccw 318408 duplicate request of  inc5643789 with added attachment ,Phone,Healthcare Application Issues,0
INC3430869,fac share - bh encs - sbm (jh/jh),Phone,Healthcare Application Issues,0
INC3682532,"not able to access his cortext on this iphone. ( 408) -892-0206. since dr's facility is in sfo, we can not reset it. please reset it for him.",Phone,Healthcare Application Issues,0
INC1573488,activity rx issues - stuck in inbasket,Walk-in,Healthcare Application Issues,0
INC0133792,epic work queues unable to export to clipboard. professional coding dept,Phone,Healthcare Application Issues,0
INC5629374,afl/kphc please create the following pgp per attached spreadsheet. instance: orange county,Email,Healthcare Application Issues,0
INC5944567,(frs oph #other) resolved: open inbasket item,Phone,Healthcare Application Issues,0
INC4443908,home health - bp requesting to change 3/14/2018 contact made in error.,Phone,Healthcare Application Issues,0
INC5358761,#nextday (flh phrm 10/18 #rounding) speciality 'administration' instead of 'pharmacy' which is causing users to select him in error when sending inbasket messg,Phone,Healthcare Application Issues,0
INC3118176,dau # 20393 possible unmerge - impacted deployment  ie,Direct Input,Healthcare Application Issues,0
INC0465477,kphc epic care - unable to use dea token - app times out / freezes,Phone,Healthcare Application Issues,0
INC1639950,thh - bp unable to enter resumption of care date,Phone,Healthcare Application Issues,0
INC5532359,afl/kphc please create the following pgp per attached spreadsheet. instance: va (woodland hills),Email,Healthcare Application Issues,0
INC5432406,afl/kphc please create the following pgp per attached spreadsheet. instance: san diego,Email,Healthcare Application Issues,0
INC5122843,afl/kphc: please create the following pgp per attached spreadsheet.  instance:  va,Email,Healthcare Application Issues,0
INC1409530,orders for post pardum visits are not going to nurse's inbasket to be signed.,Phone,Healthcare Application Issues,0
INC3513216,afl/kphc: please create the following pgp per attached spreadsheet.  instance:  ml,Email,Healthcare Application Issues,0
INC6359975,(mod hps #iphone) iphones haiku not working. ,Walk-in,Healthcare Application Issues,0
INC5247463,(mscc) i'm having a cda launcher issue,Self-service,Healthcare Application Issues,0
INC2002757,#::1  mobile device issues: iphone - cortext & kphc install request,Self-service,Healthcare Application Issues,0
INC3364306,kph sb - hospice - home care - need start of care deleted,Phone,Healthcare Application Issues,0
INC1664074,cortext 1 | angela hsu,Direct Input,Healthcare Application Issues,0
INC6366812,dr place cortext on do not disturbe and now getting alerts that she has messages,Phone,Healthcare Application Issues,0
INC3497060,cda launcher fma ,Self-service,Healthcare Application Issues,0
INC1729079,kphc home health clinical issue- scheduling error,Phone,Healthcare Application Issues,0
INC1544580,cda launcher,Self-service,Healthcare Application Issues,0
INC3047387,"dsa kphc: kphc home deployment incorrect, causing providers inbasket messages to go to remote please correct it to prodnbm and add diablo hyperspace",Phone,Healthcare Application Issues,0
INC2874188,kphc - missing items in inbasket,Phone,Healthcare Application Issues,0
INC4120433,cid 9681094 - nbm (fab),Email,Healthcare Application Issues,0
INC5223643,"afl/kphc: please add additional tins & pgps as indicated for user (miller, andrea i729809)",Email,Healthcare Application Issues,0
INC3322430,#issue-assisted bp with modifying smartphrase,Phone,Healthcare Application Issues,0
INC3915608,cda launcher ,Phone,Healthcare Application Issues,0
INC5442551,dau#21974. please remove erronious tpi,Phone,Healthcare Application Issues,0
INC4769137,cda launcher,Self-service,Healthcare Application Issues,0
INC4749203,cda launcher,Self-service,Healthcare Application Issues,0
INC4269570,kphc ncal wits3: hyperspace error - unable to initialize session with web server. error in hyperspaceweb configuration,Direct Input,Healthcare Application Issues,0
INC3054055, inquiring to see if there is a way to send mri reports using care everywhere.,Phone,Healthcare Application Issues,0
INC1332137,ga unable to view sent staff messages in inbasket.,Phone,Healthcare Application Issues,0
INC5749457,lws ,Direct Input,Healthcare Application Issues,0
INC6373843,hc -econsult ncal-unable to load from hc ,Phone,Healthcare Application Issues,0
INC6393735,can't open haiku,Phone,Healthcare Application Issues,0
INC3829644,(unc psy #outpatient) user had a question on where to document in a rar edit in widescreen,Phone,Healthcare Application Issues,0
INC4519796,needs assistance with copying a smart phrase ,Phone,Healthcare Application Issues,0
INC2619837,user reports that her inbasket display is not correct,Walk-in,Healthcare Application Issues,0
INC4107693,(sln oth #other) user requesting assistance on editing smartphrases (pt) x68927,Phone,Healthcare Application Issues,0
INC4565231,kphc how to: create a smartphrase with multiple smartlists,Phone,Healthcare Application Issues,0
INC5887194,(sch afm #outpatient) stuck aacc message in md inbasket eow id 371326210,Phone,Healthcare Application Issues,0
INC4000356,set dea epcs to grant,Direct Input,Healthcare Application Issues,0
INC5830707,afl/kphc please create the following pgp per attached spreadsheet. instance: va (kern county),Email,Healthcare Application Issues,0
INC6282861,(sac 5w 12/11 #cortext) anm requesting assistance with cortext setup,Phone,Healthcare Application Issues,0
INC3830516,cda remote launcher,Phone,Healthcare Application Issues,0
INC2224087,ss - haiku - ggm (ab/rm),Phone,Healthcare Application Issues,0
INC4518671,laf-2 06/24 08:16 extreme slowness launching epic,Phone,Healthcare Application Issues,0
INC3350068,receiving a bunch of messages from the call center in her in-basket ,Phone,Healthcare Application Issues,0
INC0976708,inbasket routing ,Phone,Healthcare Application Issues,0
INC4902121,afl/kphc: please create the following pgp per attached spreadsheet.  instance:  va,Email,Healthcare Application Issues,0
INC2326147,unable to boot up mipacs from epic  - am5280351,Phone,Healthcare Application Issues,0
INC3540691,dau 20660kphc treatment plan - incorrect discontinue reason entered,Email,Healthcare Application Issues,0
INC6050953,"(bell snf 11/15/19 #inpatient) dr. y  reports there's a new pcc that needs assistance setting up smartphrases, he's unable to share his.",Phone,Healthcare Application Issues,0
INC5982122,(val oth #other) bp reported that she has several remote in-basket messages and she can not done them.,Phone,Healthcare Application Issues,0
INC6019298,bp goes to epic>tools>patient care tools but missing option for kp.org,Phone,Healthcare Application Issues,0
INC3964289,unable to document care plan,Email,Healthcare Application Issues,0
INC4573077,afl/kphc: please create the following pgp per attached spreadsheet.  instance:   ie,Email,Healthcare Application Issues,0
INC1837171,contact center support: i'm having a cda launcher issue,Self-service,Healthcare Application Issues,0
INC0096958,unable to close out charts still stuck in the inbasket (see attachment for mrns),Phone,Healthcare Application Issues,0
INC5979848,(gil-fpr #outpatient) g638814 - assisted bp get back to in-basket folder from active encounter.,Phone,Healthcare Application Issues,0
INC4577435,cda launcher closing,Self-service,Healthcare Application Issues,0
INC6336668,#nextday-bp has an assessment that she normally does and filled in her smart phrases but ,Phone,Healthcare Application Issues,0
INC1934356,kphc hospice remote  clinical issue - mwaura - fon,Phone,Healthcare Application Issues,0
INC3217625,ssf request  smart links to pull to pull in names of surgeon and assistant ; and also dot phrase for pathology specimens found in .opnotelong,Email,Healthcare Application Issues,0
INC2937114,unable to get into remote inbasket in kphc,Phone,Healthcare Application Issues,0
INC4782057,ob pcp removal request - ebm (rrf),Phone,Healthcare Application Issues,0
INC1901150,afl/kphc: please create the following pgp per attached spreadsheet.  instance: va,Email,Healthcare Application Issues,0
INC5221540,"(unc oth #oth) bp discharge member from hospice, episode cannot be un-resolved",Phone,Healthcare Application Issues,0
INC5896937," client needs widescreen for health connect , is unable to send notes to physici",Phone,Healthcare Application Issues,0
INC5873651,mas region bp is unable to launch cda launcher - user account blocked error in cda launcher app,Phone,Healthcare Application Issues,0
INC1224351,dr is reporting he is unable to e-prescribe on workstation keeps getting authentication,Phone,Healthcare Application Issues,0
INC2370122,bp can log into epic but doesn't see her departments listed,Phone,Healthcare Application Issues,0
INC4341217,ekg - nbm (dcg/jg),Phone,Healthcare Application Issues,0
INC5786321,kphc - mafokam3831907 intermittently getting inbasket messages for dr. prendez,Phone,Healthcare Application Issues,0
INC0373886,inquiry: bp is attached to pools in multiple instances. is he able to see pool messages from other instances in remote inbasket?,Walk-in,Healthcare Application Issues,0
INC5625407,afl/kphc please create the following pgp per attached spreadsheet. instance: va (woodland hills),Email,Healthcare Application Issues,0
INC3742074,unable to create a smart phrase record in kphc ,Phone,Healthcare Application Issues,0
INC6090019,unable to launch hyperspace w2k12 instance connection error ,Phone,Healthcare Application Issues,0
INC1901708,"afl/kphc: please reactivate user (browne, richard b. m622408)",Direct Input,Healthcare Application Issues,0
INC1683772,urgent doctor kphc scal hyperspace - va account is inactive ,Phone,Healthcare Application Issues,0
INC2667087,f527581 - inability to done/clear in-basket message/s. ,Phone,Healthcare Application Issues,0
INC4134055,kphc-peds subspecialties- bp reports after 2018 epic upgrade,Phone,Healthcare Application Issues,0
INC1029170,ss-facility share - nbm ecg (mef),Phone,Healthcare Application Issues,0
INC5516304,mary e. blevins  p398448   unable to logon hyperspace ncal cam- 3m webcrs prod - ,Phone,Healthcare Application Issues,0
INC4651714,ss - haiku - ggm (jaj/jrb),Phone,Healthcare Application Issues,0
INC5959259,"(wcr psy #outpatient) rooming tool question, removing appt, widescreen view discussion",Phone,Healthcare Application Issues,0
INC4507878,nwmpoam5235498- epic home health staff messages inbasket screen loads blank with flashing screen,Phone,Healthcare Application Issues,0
INC0638111,ss-facility share - cam digital photo/audiology report,Email,Healthcare Application Issues,0
INC4563456,(unc psy #iphone) haiku mobile device questions,Chat,Healthcare Application Issues,0
INC2246618,bp would like to make an hospice encounter non-billable.,Phone,Healthcare Application Issues,0
INC4340783,**urgent - kphc - no longer showing as a provider in the home health client,Phone,Healthcare Application Issues,0
INC5957588,"afl/kphc: please add additional tins to user (eichorst, thomas m934193) ",Email,Healthcare Application Issues,0
INC6413826,please remove patient from provider in-basket,Phone,Healthcare Application Issues,0
INC0399139,ss-facility share-digital photos-sbm (rjs/hnt),Phone,Healthcare Application Issues,0
INC3510825,"kphc inbasket issue - after recent transfer, several pool messages showing in inbasket. see notes. ",Phone,Healthcare Application Issues,0
INC4003136,ss - scan - nbm (see/pjm),Phone,Healthcare Application Issues,0
INC5503909,"afl/kphc: please add pgps & tins to user (batt, maria d893233).",Email,Healthcare Application Issues,0
INC5024655,kphc oc - bp is unable to clear referral in-basket message.,Phone,Healthcare Application Issues,0
INC0097601,ss-facility share-haiku-ccm,Phone,Healthcare Application Issues,0
INC0774507,kphc - unable to view in-basket messages / orders for ip respiratory therapy,Phone,Healthcare Application Issues,0
INC4485637,dr wanted to have support with inbasket messages ,Phone,Healthcare Application Issues,0
INC6194442,unable to get into cda launcher account showing locked ,Phone,Healthcare Application Issues,0
INC3768769,ssc ed #outpatient - add inbasket pools,Phone,Healthcare Application Issues,0
INC3914136,"afl/kphc: please provision user (leftwich, angel f984667) per attached toolkit and configure as a dual user.",Direct Input,Healthcare Application Issues,0
INC5150414,(mscc) i'm having a cda launcher issue blocked,Self-service,Healthcare Application Issues,0
INC0939891,urgent kphc - bp can't create encounters from the inbasket,Phone,Healthcare Application Issues,0
INC5740771,(dau case id 22212) bp needs 2 images removed from the media tab. ,Phone,Healthcare Application Issues,0
INC1543340,rwc prelude - membership active in foundations but missing in epic - phi under documents section,Email,Healthcare Application Issues,0
INC1598764,"afl/kphc: please provision user (duplessis, charmette m. w124487) per attached toolkit.",Email,Healthcare Application Issues,0
INC3282476,cadence,Phone,Healthcare Application Issues,0
INC3772651,unable to launch scal hyperspace scpgocm nov 2018,Phone,Healthcare Application Issues,0
INC5819386,"cda launcher - user unable to sign on, account locked. ",Phone,Healthcare Application Issues,0
INC6121468,smartphrase problem ,Walk-in,Healthcare Application Issues,0
INC6295453,wcr/other: outpatient : needs to be added to a dept pools wcr_ip_pool_palliative_care &dsa palliative care distribution,Phone,Healthcare Application Issues,0
INC0341286,proactive care gap firing for colorectal cancer,Phone,Healthcare Application Issues,0
INC3515295,cnvppam3523073- dot phrase does not work - epic drop down- ,Phone,Healthcare Application Issues,0
INC5204955,pcp request - sbm (dkp) ccw 322249,Phone,Healthcare Application Issues,0
INC4550685,(unc oph #other) econsult not populating proper info for patients. ,Direct Input,Healthcare Application Issues,0
INC3749830,ss-facility share - referral attachment - nbm (wfj/emn),Phone,Healthcare Application Issues,0
INC4202805,kphc-peds-bp reports after 2018 epic upgrade,Phone,Healthcare Application Issues,0
INC2903925,haiku update,Phone,Healthcare Application Issues,0
INC5799604,epic update ,Phone,Healthcare Application Issues,0
INC1318581,ss facility share - ggm - haiku (elm/ll),Email,Healthcare Application Issues,0
INC5322471,( sln icu #inpatient #smarttool) user how to create smartphrase for communication between nursing staff and pharmacy,Direct Input,Healthcare Application Issues,0
INC0527862,kphc issue - bp is unable to remove 2 request from her inbasket,Phone,Healthcare Application Issues,0
INC0269951,cortext 1 | shreya r. ahuja,Email,Healthcare Application Issues,0
INC5057990,"afl/kphc: please rebuild and reactivate user (villafuerte, rocio g073904) per attached toolkit.  user is a former kp employee.",Email,Healthcare Application Issues,0
INC3814592,"kphc - referral remains in bp's in-basket, despite being canceled.",Phone,Healthcare Application Issues,0
INC0502515,(fld afm #outpatient) w/ harp hospital adt remote inbasket shows wrong number of messages,Walk-in,Healthcare Application Issues,0
INC0963727,needs pw reset for testnwm - epic 2017 - fma test environment ,Phone,Healthcare Application Issues,0
INC5118289,afl/kphc: please create the following pgp per attached spreadsheet.  instance: ml,Email,Healthcare Application Issues,0
INC3322688,in-basket issue,Email,Healthcare Application Issues,0
INC4278003,smartphrase issue fname,Phone,Healthcare Application Issues,0
INC5438124,(rwc psyv #outpatient) bp called for assistance on sharing smartphrase,Phone,Healthcare Application Issues,0
INC4136482,dsa kphc: smartphrase not able to create,Phone,Healthcare Application Issues,0
INC1178005,documentation only-  log into haiku,Phone,Healthcare Application Issues,0
INC5763467,"(str-ptd #outpatient) b803251 - add to inbasket pool leon, alexine j (z563951) - model after pho, joanne d (b803251) assigned pools.",Phone,Healthcare Application Issues,0
INC0173278,ss-facility share - ebm haiku mislabeled,Email,Healthcare Application Issues,0
INC3645282,hh: epic remote client not syncing properly.,Phone,Healthcare Application Issues,0
INC3088606,bp does not have access to cortext.,Email,Healthcare Application Issues,0
INC4321766,(mscc) i'm having a cda launcher issue,Self-service,Healthcare Application Issues,0
INC3825993, bp: lws mapping on two pc -see attachment ,Direct Input,Healthcare Application Issues,0
INC5503521,"w/ harp (unc afm #outpatient)  ncalf19 inbasket pt sidebar header, missing patient preferred language after update;",Phone,Healthcare Application Issues,0
